No.,IO_Type,Inout Mode,Single/Differential,Drive,All Output Drive Support,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,PullMode,SingleResistor(bank 0/2),SingleResistor(bank 1/3),DIFFResistor(bank 1/2/3),DIFFResistor(bank 0),BANK VREF,BANK,BANK VCCIO,SW,BFD
1,LVDS25E,Differential Voltage Inout,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5,LVDS25E,LVDS_E
2,BLVDS25,,,16,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5,BLVDS25,BLVDS25
3,MLVDS25,,,16,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5,MLVDS25,MLVDS25
4,RSDS25E,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5,RSDS25E,RSDS_E
5,LVPECL33E,,,16,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,3.3,LVPECL33E,LVPECL_E
6,HSTL15D_I,,,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON**,N/A,N/A,N/A,ALL,1.5,HSTL15D_I,HSTL_D
7,HSTL18D_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,HSTL18D_I,HSTL_D
8,HSTL18D_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,HSTL18D_II,HSTL_D
9,SSTL15D,,,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,SSTL15D,SSTL_D
10,SSTL18D_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,SSTL18D_I,SSTL_D
