,IO_Type,Input Mode,Single/Differential,Drive,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,I3C Mode(bank 0/1/2),MIPI Input(bank 0/1),MIPI Output(bank 2),PullMode,SingleResistor(bank 0/1/3),SingleResistor(bank 2),DIFFResistor(bank 2/3),DIFFResistor(bank 0/1),BANK VREF,BANK,BANK VCCIO（V）,,SW,BFD
1,MIPI,True LVDS,Differential,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,0/1,VCCIO=1.2, VCCX=2.5/3.3,,MIPI***
2,LVDS25,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,LVDS25,LVDS25
3,RSDS,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,RSDS,RSDS
4,MINILVDS,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,MINILVDS,MINILVDS
5,PPLVDS,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,PPLVDS,PPLVDS
6,LVDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,LVDS25E,LVDS_E
7,BLVDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,BLVDS25E,BLVDS_E
8,MLVDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,MLVDS25E,MLVDS_E
9,RSDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,2.5/3.3,,RSDS25E,RSDS_E
10,LVPECL33E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,0/1/2,3.3,,LVPECL33E,LVPECL_E
11,HSTL15D_I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,0/1/2,≥1.5,,HSTL15D_I,HSTL_D
12,HSTL18D_I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,0/1/2,≥1.8,,HSTL18D_I,HSTL_D
13,HSTL18D_II,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,0/1/2,≥1.8,,HSTL18D_II,HSTL_D
14,SSTL15D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,0/1/2,≥1.5,,SSTL15D,SSTL_D
15,SSTL18D_I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,0/1/2,≥1.8,,SSTL18D_I,SSTL_D
16,SSTL18D_II,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,0/1/2,≥1.8,,SSTL18D_II,SSTL_D
