,IO_Type,Input Mode,Single/Differential,Drive,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,PullMode,SingleResistor(bank 0/1/4/5),SingleResistor(bank 2/3/6/7),DIFFResistor(bank 2/3/4/5/6/7),DIFFResistor(bank 0/1),BANK VREF,BANK,BANK VCCIO,,SW,BFD,,,
1,LVDS25,True LVDS,Differential,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,For Differential Voltage Input IOs: Bank VCCIO must equal or larger than the VCCIO of IO Types,LVDS25,LVDS25,,,
2,RSDS,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,RSDS,RSDS,,,
3,MINILVDS,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,MINILVDS,MINILVDS,,,
4,PPLVDS,True LVDS,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,PPLVDS,PPLVDS,,,
5,LVDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,LVDS25E,LVDS_E,,,
6,BLVDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,BLVDS25E,BLVDS_E,,,
7,MLVDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,MLVDS25E,MLVDS_E,,,
8,RSDS25E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,2.5/3.3,,RSDS25E,RSDS_E,,,
9,LVPECL33E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,N/A,N/A,OFF/ON,N/A,ALL,3.3,,LVPECL33E,LVPECL_E,,,
10,HSTL15D_I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,≥1.5,,HSTL15D_I,HSTL_D,,,
11,HSTL18D_I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,≥1.8,,HSTL18D_I,HSTL_D,,,
12,HSTL18D_II,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,≥1.8,,HSTL18D_II,HSTL_D,,,
13,SSTL15D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,≥1.5,,SSTL15D,SSTL_D,,,
14,SSTL18D_I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,≥1.8,,SSTL18D_I,SSTL_D,,,
